The following are the 3-grams for words #600-1000 in the lexicon file for the Corpus of Contemporary American English (COCA), which occur at least five times. In the full n-grams file (available for purchase), you would of course have *all* words and you would also have all n-grams regardless of frequency.


freq	w1	w2	w3
15	based	in	Kansas
15	based	upon	those
15	based	on	detailed
15	based	on	annual
15	based	in	Pittsburgh
15	based	on	events
15	based	on	speculation
15	based	on	moral
15	based	on	multiple
15	based	on	six
15	based	on	life
15	based	on	observation
15	based	on	earnings
15	based	on	census
15	based	on	samples
15	based	on	experiences
15	based	on	primary
15	based	on	economics
15	based	on	:
15	based	on	objective
15	based	on	biological
15	based	on	ACE
14	based	on	perceptions
14	based	here	.
14	based	there	.
14	based	"	on
14	based	on	conversations
14	based	in	Birmingham
14	based	on	available
14	based	in	Cincinnati
14	based	in	Salt
14	based	on	self-reports
14	based	on	1990
14	based	on	consensus
14	based	in	Columbia
14	based	on	democratic
14	based	on	general
14	based	in	England
14	based	on	law
14	based	on	whatever
14	based	on	military
14	based	in	Columbus
14	based	on	agriculture
14	based	on	things
14	based	on	strong
14	based	on	subjective
14	based	on	changes
14	based	on	hard
14	based	on	justice
14	based	on	cost
14	based	in	fact
14	based	in	Florida
14	based	on	regional
14	based	on	when
14	based	,	is
13	based	around	the
13	based	on	women
13	based	on	fundamental
13	based	on	relatively
13	based	in	Berkeley
13	based	in	Cleveland
13	based	on	water
13	based	on	making
13	based	on	risk
13	based	in	McLean
13	based	on	friendship
13	based	on	individuals
13	based	on	him
13	based	on	Islam
13	based	on	blood
13	based	on	oral
13	based	on	values
13	based	.	I
13	based	on	foreign
13	based	on	relative
13	based	in	Phoenix
13	based	on	personality
13	based	in	Madison
13	based	on	power
13	based	on	price
13	based	on	real-life
13	based	on	classical
13	based	on	'
13	based	on	number
13	based	on	outdated
13	based	directly	on
13	based	merely	on
13	based	principally	on
13	based	on	close
13	based	on	comparisons
13	based	,	not
12	based	,	"
12	based	just	on
12	based	.	And
12	based	on	DNA
12	based	on	overall
12	based	in	South
12	based	in	Reston
12	based	on	achievement
12	based	at	a
12	based	on	qualitative
12	based	on	long-term
12	based	in	Berlin
12	based	on	level
12	based	on	cooperation
12	based	in	Milwaukee
12	based	on	party
12	based	on	stereotypes
12	based	on	critical
12	based	on	money
12	based	upon	,
12	based	on	highly
12	based	on	realistic
12	based	on	reasonable
12	based	on	computer
12	based	,	it
12	based	on	internal
12	based	on	intensive
12	based	on	ignorance
12	based	on	inaccurate
12	based	.	He
12	based	on	seniority
12	based	on	subjects
12	based	in	Indianapolis
12	based	)	,
12	based	on	her
12	based	on	tax
12	based	on	field
12	based	on	claims
12	based	on	land
12	based	on	legal
12	based	on	looks
12	based	on	her
12	based	on	rational
12	based	upon	some
12	based	on	records
12	based	in	Iraq
11	based	in	Montreal
11	based	in	Mountain
11	based	on	polls
11	based	on	practical
11	based	on	numerous
11	based	on	weight
11	based	on	customer
11	based	on	laboratory
11	based	on	scores
11	based	outside	the
11	based	on	characteristics
11	based	,	in
11	based	on	intuition
11	based	on	themes
11	based	here	in
11	based	upon	one
11	based	on	functional
11	based	in	Massachusetts
11	based	on	universal
11	based	here	,
11	based	on	allegations
11	based	on	patterns
11	based	on	education
11	based	on	published
11	based	on	racism
11	based	on	skill
11	based	in	Australia
11	based	on	skin
11	based	in	Stamford
11	based	on	self-report
11	based	upon	.
11	based	on	early
11	based	upon	research
11	based	in	Nashville
11	based	on	disability
11	based	heavily	on
11	based	on	location
10	based	on	logic
10	based	in	Norwalk
10	based	on	analyses
10	based	on	ratings
10	based	on	length
10	based	on	body
10	based	on	expected
10	based	on	dozens
10	based	)	.
10	based	on	children
10	based	on	federal
10	based	upon	gender
10	based	on	appearance
10	based	on	demographic
10	based	on	animal
10	based	estimates	of
10	based	on	standards
10	based	on	grade
10	based	in	Rome
10	based	in	Silver
10	based	on	similarity
10	based	on	experimental
10	based	on	established
10	based	on	standardized
10	based	on	fossil
10	based	on	competition
10	based	on	ancient
10	based	on	indigenous
10	based	on	advice
10	based	on	male
10	based	in	La
10	based	on	issues
10	based	on	kinship
10	based	on	mere
10	based	in	Beirut
10	based	on	health
10	based	on	books
10	based	in	Detroit
10	based	on	distance
10	based	on	large
10	based	on	concepts
10	based	on	concerns
10	based	on	broad
10	based	on	carbon
10	based	on	informal
10	based	on	teachers
10	based	on	circumstantial
10	based	on	strict
10	based	on	testimony
10	based	on	images
10	based	on	use
10	based	on	written
10	based	on	numbers
10	based	on	somebody
10	based	on	similarities
10	based	upon	personal
10	based	on	reliable
10	based	in	Bozeman
10	based	in	Britain
10	based	on	self-reported
10	based	in	Jackson
1205	federal	government	.
1096	federal	government	,
912	federal	and	state
606	federal	government	's
594	federal	government	has
559	federal	government	to
498	federal	government	is
420	federal	government	and
386	federal	grand	jury
321	federal	,	state
291	federal	law	,
288	federal	law	.
251	federal	court	.
249	federal	funding	for
236	federal	judge	in
234	federal	,	state
221	federal	court	in
217	federal	agencies	,
212	federal	court	,
207	federal	law	enforcement
201	federal	government	in
194	federal	income	tax
189	federal	level	,
182	federal	appeals	court
176	federal	appeals	court
169	federal	district	court
167	federal	budget	deficit
167	federal	government	should
160	federal	budget	.
158	federal	government	for
156	federal	courts	.
155	federal	funds	.
154	federal	level	.
149	federal	agencies	.
142	federal	government	will
142	federal	government	would
137	federal	agencies	to
131	federal	government	was
115	federal	funding	.
115	federal	funds	for
112	federal	and	local
108	federal	or	state
107	federal	funds	to
106	federal	income	taxes
102	federal	and	state
102	federal	courts	,
100	federal	government	had
100	federal	budget	,
100	federal	funds	,
99	federal	judge	,
93	federal	law	that
92	federal	government	can
90	federal	building	in
86	federal	agencies	and
86	federal	funding	of
85	federal	Centers	for
83	federal	deficit	.
83	federal	court	to
82	federal	government	could
81	federal	Bureau	of
80	federal	Department	of
80	federal	spending	.
80	federal	prison	.
80	federal	civil	rights
79	federal	money	.
76	federal	system	,
76	federal	funding	,
75	federal	judge	has
75	federal	agents	.
74	federal	judge	.
74	federal	government	does
73	federal	money	to
73	federal	and	provincial
71	federal	building	.
69	federal	regulations	.
69	federal	money	for
69	federal	prosecutor	,
68	federal	prison	in
67	federal	support	for
67	federal	aid	.
66	federal	courts	have
65	federal	judge	to
64	federal	officials	,
64	federal	money	,
64	federal	government	?
63	federal	spending	on
63	federal	agency	,
62	federal	agencies	are
61	federal	law	and
61	federal	aid	to
61	federal	programs	.
60	federal	regulators	.
59	federal	matching	funds
59	federal	deficit	,
59	federal	court	and
59	federal	role	in
59	federal	employees	,
58	federal	employees	.
58	federal	authorities	.
58	federal	government	that
57	federal	government	--
57	federal	taxes	.
57	federal	agency	that
56	federal	courthouse	in
56	federal	judges	,
55	federal	judge	ruled
54	federal	government	to
54	federal	sentencing	guidelines
51	federal	programs	,
51	federal	agency	.
51	federal	officials	.
51	federal	judges	.
50	federal	lands	.
50	federal	prison	for
50	federal	court	order
50	federal	government	that
49	federal	bureaucracy	.
49	federal	dollars	.
48	federal	prosecutor	.
48	federal	government	or
48	federal	agencies	that
47	federal	agencies	have
47	federal	laws	.
47	federal	regulations	,
47	federal	prosecutors	,
46	federal	spending	,
46	federal	land	.
45	federal	system	.
45	federal	poverty	level
45	federal	funds	rate
45	federal	building	,
45	federal	prison	,
45	federal	and	state
45	federal	prosecutor	who
44	federal	judge	who
44	federal	officials	say
44	federal	funds	to
44	federal	law	to
44	federal	investigation	into
44	federal	government	's
44	federal	government	of
44	federal	government	on
43	federal	legislation	.
43	federal	prosecutors	.
43	federal	government	did
43	federal	Indian	policy
43	federal	agents	,
43	federal	legislation	,
43	federal	officials	to
42	federal	courts	to
42	federal	prosecutors	in
42	federal	regulation	of
42	federal	judge	's
42	federal	government	(
42	federal	taxes	,
41	federal	courts	in
41	federal	budget	and
41	federal	government	from
41	federal	deposit	insurance
40	federal	budget	is
40	federal	officials	are
40	federal	tax	dollars
40	federal	Environmental	Protection
39	federal	charges	of
39	federal	standards	.
39	federal	regulation	.
39	federal	laws	,
39	federal	legislation	to
38	federal	Clean	Air
38	federal	authorities	,
38	federal	government	have
37	federal	government	are
37	federal	agents	and
37	federal	judge	and
37	federal	prosecutor	in
37	federal	bench	.
37	federal	program	.
36	federal	financial	aid
36	federal	No	Child
36	federal	officials	have
35	federal	judges	have
35	federal	investigation	of
34	federal	court	of
34	federal	court	for
34	federal	jury	in
34	federal	regulators	,
34	federal	tax	bracket
33	federal	grant	to
33	federal	lands	,
33	federal	grants	and
32	federal	laws	and
32	federal	bureaucracy	,
32	federal	aid	,
32	federal	regulators	to
32	federal	program	,
32	federal	death	penalty
32	federal	judiciary	.
32	federal	governments	.
32	federal	ban	on
31	federal	and	private
31	federal	investigation	.
31	federal	investigators	.
31	federal	government	;
31	federal	district	judge
31	federal	funding	and
31	federal	and	state
31	federal	government	may
30	federal	courts	and
30	federal	law	requires
30	federal	recognition	.
30	federal	land	,
29	federal	government	"
29	federal	law	requiring
29	federal	elections	.
29	federal	standards	for
29	federal	budget	deficits
29	federal	work	force
29	federal	government	agencies
29	federal	officials	said
29	federal	court	ruling
29	federal	financial	assistance
29	federal	appellate	court
29	federal	court	system
29	federal	government	as
28	federal	regulations	and
28	federal	government	spends
28	federal	authorities	to
28	federal	guidelines	,
28	federal	Office	of
28	federal	guidelines	.
28	federal	government	must
28	federal	health	officials
27	federal	grants	.
27	federal	mandates	.
27	federal	safety	standards
27	federal	government	began
27	federal	dollars	,
27	federal	minimum	wage
27	federal	Food	and
27	federal	funds	and
27	federal	legislation	that
27	federal	statute	,
27	federal	authorities	are
26	federal	Endangered	Species
26	federal	involvement	in
26	federal	standards	,
26	federal	level	and
26	federal	judge	ordered
26	federal	regulatory	agencies
26	federal	definition	of
26	federal	rules	.
26	federal	funds	rate
25	federal	tax	on
25	federal	workers	,
25	federal	grant	.
25	federal	crime	.
25	federal	government	also
25	federal	grants	for
25	federal	task	force
25	federal	regulators	and
25	federal	agencies	in
25	federal	prosecutor	and
25	federal	money	and
25	federal	agents	to
25	federal	regulation	,
25	federal	crime	to
25	federal	judiciary	,
25	federal	funds	from
25	federal	government	with
25	federal	money	is
24	federal	courts	are
24	federal	government	out
24	federal	dollars	for
24	federal	laws	that
24	federal	prosecutors	have
24	federal	authorities	in
24	federal	program	that
24	federal	court	has
24	federal	environmental	laws
24	federal	courts	of
24	federal	assistance	.
24	federal	power	.
24	federal	levels	.
24	federal	workers	.
24	federal	government	now
23	federal	debt	.
23	federal	help	.
23	federal	highway	funds
23	federal	government	's
23	federal	tax	law
23	federal	officials	and
23	federal	agents	in
23	federal	judges	and
23	federal	funding	to
23	federal	grants	to
23	federal	government	by
23	federal	prosecutors	to
23	federal	government	pays
23	federal	authorities	have
23	federal	law	that
23	federal	tax	code
23	federal	law	is
22	federal	Clean	Water
22	federal	funds	are
22	federal	government	spent
22	federal	agency	that
22	federal	response	to
22	federal	government	needs
22	federal	program	to
22	federal	appeals	courts
22	federal	prosecutors	and
22	federal	judges	in
22	federal	tax	system
22	federal	law	in
22	federal	Agency	for
22	federal	government	says
22	federal	government	ought
21	federal	affirmative	action
21	federal	rules	,
21	federal	buildings	.
21	federal	support	.
21	federal	oversight	of
21	federal	courthouse	,
21	federal	grants	,
21	federal	agents	have
21	federal	court	case
21	federal	judges	who
21	federal	judges	are
21	federal	office	building
20	federal	flood	insurance
20	federal	regulators	have
20	federal	regulations	that
20	federal	governments	,
20	federal	crime	,
20	federal	support	,
20	federal	spending	and
20	federal	lands	in
20	federal	efforts	to
20	federal	agency	to
20	federal	rules	of
20	federal	civil	service
20	federal	subsidies	for
20	federal	public	defender
20	federal	court	decision
20	federal	lawsuit	against
20	federal	government	at
20	federal	case	.
20	federal	requirements	.
20	federal	property	.
20	federal	government	provides
19	federal	government	because
19	federal	prisons	.
19	federal	action	.
19	federal	agent	.
19	federal	student	aid
19	federal	securities	laws
19	federal	level	to
19	federal	budget	by
19	federal	prison	system
19	federal	programs	and
19	federal	,	and
19	federal	dollars	to
19	federal	bench	,
19	federal	money	to
19	federal	bankruptcy	court
19	federal	tax	credit
19	federal	agencies	were
19	federal	government	were
19	federal	welfare	reform
19	federal	funding	is
18	federal	case	out
18	federal	court	that
18	federal	charges	that
18	federal	officials	who
18	federal	government	the
18	federal	district	judge
18	federal	government	might
18	federal	government	took
18	federal	court	to
18	federal	poverty	line
18	federal	judges	to
18	federal	departments	and
18	federal	deficit	and
18	federal	health	care
18	federal	budget	for
18	federal	guidelines	for
18	federal	judge	said
18	federal	support	of
18	federal	system	of
18	federal	courthouse	.
18	federal	charges	.
18	federal	subsidies	.
18	federal	control	.
17	federal	jurisdiction	.
17	federal	crimes	.
17	federal	witness	protection
17	federal	law	does
17	federal	government.	(
17	federal	government	said
17	federal	control	of
17	federal	grant	for
17	federal	aid	for
17	federal	spending	for
17	federal	antitrust	laws
17	federal	shield	law
17	federal	student	loans
17	federal	student	loan
17	federal	penitentiary	in
17	federal	policy	,
17	federal	law	has
17	federal	investigators	,
17	federal	mandates	,
17	federal	funding	to
17	federal	government	itself
17	federal	land	management
17	federal	and	the
17	federal	employees	who
17	federal	appeals	court
17	federal	agents	are
17	federal	government	which
17	federal	government	through
17	federal	agents	were
17	federal	deficit	is
16	federal	system	is
16	federal	funds	were
16	federal	banking	regulators
16	federal	prosecutors	are
16	federal	tax	burden
16	federal	power	,
16	federal	dollars	to
16	federal	grants	to
16	federal	requirements	,
16	federal	government	gave
16	federal	agency	has
16	federal	taxes	and
16	federal	employees	and
16	federal	levels	,
16	federal	law	by
16	federal	aid	to
16	federal	criminal	law
16	federal	courts	for
16	federal	Occupational	Safety
16	federal	judge	ruled
16	federal	court	ruled
16	federal	courts	'
16	federal	disaster	relief
16	federal	taxes	on
16	federal	crime	bill
16	federal	government	not
16	federal	government	)
16	federal	benefits	.
16	federal	contracts	.
15	federal	policy	.
15	federal	R	&D;
15	federal	R	&D;
15	federal	statute	.
15	federal	government	officials
15	federal	government	do
15	federal	troops	.
15	federal	judge	dismissed
15	federal	restrictions	on
15	federal	court	on
15	federal	government	gives
15	federal	research	funds
15	federal	corruption	charges
15	federal	program	for
15	federal	election	laws
15	federal	government	as
15	federal	spending	by
15	federal	government	but
15	federal	court	jury
15	federal	statute	that
15	federal	statutes	,
15	federal	subsidies	,
15	federal	officials	in
15	federal	buildings	,
15	federal	estate	tax
15	federal	indictment	,
15	federal	budget	in
15	federal	government	still
15	federal	troops	to
15	federal	agents	had
15	federal	government	requires
15	federal	commitment	to
15	federal	law	was
15	federal	court	judge
15	federal	government	wants
15	federal	government	today
15	federal	money	would
15	federal	agencies	with
15	federal	Drug	Enforcement
15	federal	court	is
15	federal	level	is
14	federal	judge	is
14	federal	health	insurance
14	federal	office	building
14	federal	government	ca
14	federal	agents	who
14	federal	programs	that
14	federal	investigators	have
14	federal	detention	center
14	federal	land	managers
14	federal	prisons	,
14	federal	agents	raided
14	federal	assistance	,
14	federal	office	,
14	federal	funds	if
14	federal	funds	in
14	federal	authorities	and
14	federal	spending	in
14	federal	research	and
14	federal	legislation	and
14	federal	bureaucracy	and
14	federal	assistance	programs
14	federal	labor	law
14	federal	common	law
14	federal	endangered	species
14	federal	level	?
14	federal	court	against
14	federal	law	for
14	federal	agency	's
14	federal	takeover	of
14	federal	law	on
14	federal	government	:
14	federal	protection	.
14	federal	government	already
14	federal	tax	.
14	federal	indictment	.
14	federal	records	.
14	federal	offense	.
14	federal	office	.
14	federal	election	.
13	federal	sources	.
13	federal	approval	.
13	federal	statutes	.
13	federal	army	.
13	federal	agency	responsible
13	federal	government	-
13	federal	government	announced
13	federal	recognition	of
13	federal	Freedom	of
13	federal	list	of
13	federal	government	's
13	federal	court	's
13	federal	probe	of
13	federal	agencies	like
13	federal	money	available
13	federal	law	?
13	federal	bankruptcy	laws
13	federal	antitrust	law
13	federal	welfare	programs
13	federal	building	and
13	federal	standards	and
13	federal	excise	tax
13	federal	budget	surplus
13	federal	money	has
13	federal	lawsuit	,
13	federal	agent	,
13	federal	employees	to
13	federal	courts	had
13	federal	investigation	,
13	federal	regulations	to
13	federal	recognition	,
13	federal	oversight	,
13	federal	penitentiary	,
13	federal	offense	,
13	federal	,	provincial
13	federal	official	,
13	federal	grant	money
13	federal	bankruptcy	judge
13	federal	circuit	court
13	federal	help	,
13	federal	judge	will
13	federal	funds	would
13	federal	courts	were
13	federal	bank	regulators
13	federal	Equal	Employment
13	federal	disaster	areas
13	federal	investigators	are
13	federal	investigators	say
13	federal	agency	is
13	federal	government	wo
12	federal	agents	say
12	federal	tax	revenues
12	federal	programs	are
12	federal	employees	are
12	federal	court	with
12	federal	air	quality
12	federal	law	which
12	federal	court	this
12	federal	money	from
12	federal	government	since
12	federal	employees	have
12	federal	funds	that
12	federal	judge	today
12	federal	court	jurisdiction
12	federal	law	will
12	federal	Central	Valley
12	federal	budget	cuts
12	federal	action	,
12	federal	agencies	to
12	federal	agency	charged
12	federal	power	to
12	federal	intervention	,
12	federal	laws	to
12	federal	employee	,
12	federal	laws	that
12	federal	system	that
12	federal	state	,
12	federal	prison	and
12	federal	lands	and
12	federal	buildings	in
12	federal	agents	arrested
12	federal	law	prohibits
12	federal	government	nor
12	federal	investigation	for
12	federal	agencies	for
12	federal	financing	for
12	federal	requirements	for
12	federal	prosecution	of
12	federal	court	here
12	federal	research	dollars
12	federal	case	,
12	federal	clean	air
12	federal	government	over
12	federal	funds	on
12	federal	legislation	on
12	federal	law	or
12	federal	Constitution	.
12	federal	law	--
12	federal	responsibility	.
12	federal	police	.
12	federal	payroll	.
12	federal	investigations	.
12	federal	oversight	.
11	federal	penitentiary	.
11	federal	state	.
11	federal	lawsuit	.
11	federal	authority	.
11	federal	offices	.
11	federal	intervention	.
11	federal	tax	rate
11	federal	laws	requiring
11	federal	judge	on
11	federal	money	on
11	federal	court	decisions
11	federal	control	over
11	federal	judge	refused
11	federal	government	a
11	federal	racketeering	charges
11	federal	trial	of
11	federal	bailout	of
11	federal	standard	for
11	federal	approval	for
11	federal	help	for
11	federal	law	against
11	federal	charges	against
11	federal	program	?
11	federal	labor	laws
11	federal	privacy	laws
11	federal	agents	at
11	federal	election	law
11	federal	education	law
11	federal	employees	in
11	federal	courtroom	in
11	federal	cases	,
11	federal	gasoline	tax
11	federal	government	if
11	federal	rules	and
11	federal	study	,
11	federal	policy	that
11	federal	welfare	system
11	federal	approval	to
11	federal	deficit	by
11	federal	court	by
11	federal	investigations	into
11	federal	government	under
11	federal	grant	,
11	federal	tax	returns
11	federal	assistance	to
11	federal	government	allows
11	federal	debt	,
11	federal	elections	,
11	federal	circuit	courts
11	federal	bankruptcy	judge
11	federal	air	marshals
11	federal	courts	will
11	federal	appeals	courts
11	federal	courts	that
11	federal	governments	have
11	federal	or	state
11	federal	government	comes
11	federal	environmental	regulations
11	federal	agency	with
11	federal	regulators	are
10	federal	dollars	are
10	federal	governments	are
10	federal	prosecutors	say
10	federal	workers	are
10	federal	government	recently
10	federal	officials	were
10	federal	laws	were
10	federal	rules	that
10	federal	government	gets
10	federal	employees	from
10	federal	policies	that
10	federal	level	that
10	federal	judge	that
10	federal	courts	would
10	federal	legislation	is
10	federal	grand	juries
10	federal	court	will
10	federal	government	created
10	federal	government	tried
10	federal	court	judge
10	federal	appellate	judge
10	federal	appeals	judge
10	federal	property	,
10	federal	military	personnel
10	federal	court	last
10	federal	issue	,
10	federal	governments	to
10	federal	government	into
10	federal	effort	to
10	federal	agencies	that
10	federal	money	that
10	federal	programs	that
10	federal	funding	that
10	federal	army	and
10	federal	investment	in
10	federal	land	and
10	federal	and	city
10	federal	land	in
10	federal	policy	and
10	federal	support	and
10	federal	aid	and
10	federal	government	than
10	federal	bench	in
10	federal	or	state
10	federal	agent	in
10	federal	dollars	and
10	federal	Indian	law
10	federal	judge	found
10	federal	police	force
10	federal	government	really
10	federal	government	be
10	federal	tax	laws
10	federal	government	continues
10	federal	assistance	for
10	federal	law	;
10	federal	judge	ordered
10	federal	judge	says
10	federal	Civil	Rights
10	federal	court	rulings
10	federal	Social	Security
10	federal	guarantee	of
10	federal	bankruptcy	protection
10	federal	government	--
10	federal	government	down
10	federal	employees	'
10	federal	constitutional	amendment
10	federal	prison	on
10	federal	systems	,
10	federal	charges	,
10	federal	timber	program
10	federal	appeals	panel
10	federal	acknowledgment	.
10	federal	government	owns
10	federal	holiday	.
10	federal	revenues	.
1944	30	percent	of
1707	30	years	.
1647	30	years	,
1561	30	years	ago
1279	30	minutes	.
665	30	.	<p>
601	30	minutes	,
598	30	years	of
595	30	seconds	.
571	30	to	40
499	30	minutes	or
484	30	percent	.
456	30	)	.
358	30	seconds	,
355	30	or	40
329	30	years	old
314	30	minutes	of
314	30	days	.
302	30	percent	,
279	30	years	in
250	30	years	and
250	30	days	,
223	30	,	and
216	30	to	50
203	30	,	40
201	30	years	later
196	30	percent	in
191	30	to	35
186	30	,	the
173	30	seconds	left
171	30	)	,
166	30	.	Collection
166	30	minutes	to
166	30	to	60
163	30	,	a
163	30	to	45
148	30	.	"
137	30	.	The
131	30	percent	to
116	30	miles	from
111	30	of	the
111	30	seconds	to
109	30	years	or
107	30	days	of
101	30	years	to
99	30	years	after
98	30	days	to
97	30	minutes	a
96	30	million	people
94	30	,	2006
93	30	minutes	and
92	30	minutes	before
92	30	or	so
89	30	in	the
88	30	miles	away
85	30	miles	north
84	30	seconds	of
83	30	miles	south
83	30	minutes	after
83	30	years	from
82	30	minutes	to
80	30	or	more
79	30	x	40
76	30	,	2001
76	30	days	in
76	30	,	New
75	30	,	2003
75	30	,	who
74	30	and	40
73	30	pounds	.
72	30	,	"
72	30	seconds	or
71	30	,	2002
70	30	.	Private
70	30	p.m	.
70	30	percent	)
69	30	,	of
69	30	million	in
68	30	<p>	The
68	30	percent	more
67	30	MIN.	,
67	30	minutes	later
67	30	percent	or
65	30	million	.
65	30	,	but
64	30	minutes	from
63	30	,	was
63	30	,	he
63	30	,	1990
62	30	min	.
62	30	years	now
62	30	feet	.
62	30	minutes	in
61	30	x	22
60	30	minutes	for
59	30	minutes	before
59	30	MINUTES	OR
59	30	percent	from
58	30	,	2004
58	30	minutes	<p>
58	30	of	them
57	30	,	is
57	30	)	<p>
57	30	,	1992
56	30	years	?
55	30	miles	per
55	30	minutes	at
55	30	,	1991
55	30	minutes	Cooking
55	30	per	cent
55	30	pounds	,
54	30	,	1997
54	30	,	2000
54	30	hours	a
52	30	's	.
52	30	minutes	on
51	30	years	for
51	30	feet	of
51	30	miles	west
50	30	minutes	)
50	30	inches	.
50	30	,	1994
50	30	percent	increase
49	30	feet	away
49	30	years	since
48	30	years	with
48	30	miles	an
48	30	years	as
48	30	,	at
48	30	million	,
47	30	,	1995
47	30	percent	and
46	30	points	,
46	30	feet	,
46	30	,	35
46	30	miles	of
46	30	,	2005
46	30	days	after
45	30	feet	from
45	30	minutes	MAKES
45	30	.	He
44	30	hours	of
44	30	years	at
44	30	to	90
43	30	years	has
43	30	days	and
43	30	miles	to
43	30	million	years
43	30	,	when
42	30	at	the
42	30	seconds	to
42	30	percent	more
42	30	)	and
41	30	seconds	and
41	30	's	and
41	30	years	(
41	30	,	1998
41	30	,	1999
40	30	,	1996
40	30	points	in
40	30	years	is
39	30	.	But
39	30	.	It
39	30	.	I
39	30	years	have
39	30	and	50
39	30	pounds	of
39	30	years	'
39	30	cents	a
39	30	minutes	each
38	30	years	earlier
38	30	,	has
37	30	pounds	and
37	30	years	to
37	30	.	And
37	30	miles	east
37	30	to	$
37	30	percent	for
36	30	days	or
36	30	years	on
36	30	percent	a
36	30	INT	.
36	30	million	Americans
36	30	,	I
36	30	years	that
35	30	percent	are
35	30	feet	high
35	30	,	an
35	30	on	the
35	30	.	In
35	30	years	--
35	30	,	31
34	30	,	1993
34	30	countries	.
34	30	people	.
34	30	.	)
34	30	people	,
33	30	miles	,
33	30	minutes	;
33	30	points	and
32	30	.	That
32	30	<p>	In
32	30	months	.
32	30	days	(
32	30	tons	of
32	30	days	before
31	30	x	24
31	30	or	35
31	30	minutes	per
31	30	feet	in
31	30	people	were
30	30	,	with
30	30	years	;
30	30	percent	over
30	30	percent	on
29	30	members	of
29	30	percent	less
29	30	minutes	before
29	30	percent	(
29	30	MIN	.
29	30	points	.
29	30	people	in
29	30	million	to
29	30	years	I
29	30	,	it
29	30	percent	were
28	30	degrees	.
28	30	states	.
28	30	days	)
28	30	mph	.
28	30	g	protein
27	30	times	.
27	30	billion	in
27	30	,	she
26	30	,	said
26	30	)	;
26	30	,	in
26	30	more	minutes
26	30	yards	,
26	30	times	a
26	30	million	a
26	30	percent	higher
26	30	,	you
25	30	,	from
25	30	miles	northwest
25	30	percent	by
24	30	states	,
24	30	mph	,
24	30	min.	,
24	30	to	70
24	30	years	before
24	30	million	of
23	30	acres	of
23	30	yards	away
23	30	EXT	.
23	30	billion	.
23	30	hours	per
23	30	cents	per
23	30	years	after
23	30	1995	1994
23	30	percent	;
23	30	or	more
23	30	times	the
22	30	days	from
22	30	of	his
22	30	,	had
22	30	,	60
22	30	and	60
22	30	years	we
22	30	.	Courtesy
22	30	percent	reduction
22	30	minutes	(
22	30	days	'
22	30	miles	.
22	30	feet	above
22	30	,	or
21	30	,	1988
21	30	years	)
21	30	hours	.
21	30	a.m	.
21	30	percent	less
21	30	minutes	longer
21	30	seconds	;
21	30	.	We
21	30	minutes	with
21	30	,	which
21	30	years	the
20	30	and	the
20	30	,	1987
20	30	x	36
20	30	percent	have
20	30	a	month
20	30	pounds	in
20	30	.	This
20	30	minutes	ago
20	30	billion	,
20	30	)	days
20	30	,	1989
20	30	seconds	)
20	30	cents	.
20	30	years	-
20	30	games	.
20	30	a	barrel
20	30	feet	or
20	30	,	compared
20	30	billion	a
19	30	minutes	away
19	30	hours	,
19	30	to	100
19	30	days	for
19	30	percent	drop
19	30	a	day
19	30	in	a
19	30	years	before
19	30	seconds	without
19	30	minutes	more
19	30	times	,
19	30	months	in
19	30	seconds	in
19	30	times	in
19	30	degrees	,
19	30	years	he
19	30	.	Call
19	30	minutes	NOTES
18	30	years	was
18	30	yards	from
18	30	percent	chance
18	30	percent	said
18	30	years	since
18	30	of	these
18	30	calories	,
18	30	million	and
18	30	feet	and
18	30	minutes	?
18	30	and	31
18	30	seconds	for
18	30	seconds	on
18	30	miles	southwest
18	30	,	1986
18	30	months	of
18	30	grams	of
17	30	seconds	?
17	30	percent	discount
17	30	cents	on
17	30	mL	)
17	30	yards	.
17	30	seconds	between
17	30	of	those
17	30	,	1982
17	30	to	49
17	30	seconds	later
17	30	p.m.	,
17	30	countries	,
17	30	minutes	plus
17	30	people	are
17	30	percent	this
17	30	for	the
17	30	,	they
17	30	.	You
17	30	percent	is
16	30	"	x
16	30	minutes	past
16	30	.	They
16	30	of	us
16	30	.	For
16	30	billion	to
16	30	days	to
16	30	g	carbohydrate
16	30	to	39
16	30	minutes	until
16	30	million	to
16	30	,	1975
16	30	months	,
16	30	years	without
16	30	.	She
16	30	)	=
16	30	or	older
16	30	percent	--
16	30	bucks	.
16	30	x	20
16	30	.	Age
16	30	year	old
16	30	inches	of
16	30	feet	deep
16	30	seconds	at
16	30	miles	a
15	30	percentage	points
15	30	points	a
15	30	for	a
15	30	times	as
15	30	yards	of
15	30	However	,
15	30	,	32
15	30	minutes	every
15	30	,	1945
15	30	frames	per
15	30	million	acres
15	30	percent	fat
15	30	.	If
15	30	percent	had
15	30	books	,
15	30	,	50
15	30	mg	isoflavones
15	30	,	2007
15	30	a	share
14	30	people	who
14	30	percent	more
14	30	to	36
14	30	feet	long
14	30	years	younger
14	30	is	the
14	30	to	55
14	30	feet	wide
14	30	percent	below
14	30	years	before
14	30	mg	cholesterol
14	30	MIN.	;
14	30	seconds	here
14	30	gm	carbohydrates
14	30	minutes	after
14	30	percent	during
14	30	days	after
14	30	x	30
14	30	miles	southeast
